SUB_TYPE,SUB_TYPE_DESC,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,ADDRESS,URL,LAST_UPDATED,LATITUDE,LONGITUDE,NEIGHBORHOOD
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,3129 HARVARD AV                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600523,09/08/2017 12:00:00 AM +0000,39.13579113,-84.47726879,EVANSTON
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,2910 BOUDINOT AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600450,09/08/2017 12:00:00 AM +0000,39.13692095,-84.60435199,WESTWOOD
FORECLOS,FORECLOSED PROPERTY,CLOSE-V ,Case Closed - Building Vacant,CLOS,4710 CHICKERING AV                   ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600376,09/08/2017 12:00:00 AM +0000,39.17490645,-84.51178618,SPRING GROVE VILLAGE
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,3781 ST LAWRENCE AV                  ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600344,09/08/2017 12:00:00 AM +0000,39.11007737,-84.57619715,EAST PRICE HILL
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,6609 BUCKINGHAM PL                   ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600316,09/08/2017 12:00:00 AM +0000,39.15562974,-84.38310453,MADISONVILLE
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,1117 ALCLIFF LN                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600290,09/08/2017 12:00:00 AM +0000,39.11616809,-84.61542155,WEST PRICE HILL
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,8147 ANTHONY WAYNE AV                ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600228,09/08/2017 12:00:00 AM +0000,39.2068943,-84.46668264,HARTWELL
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,6801 VAN KIRK AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600178,09/08/2017 12:00:00 AM +0000,39.19326774,-84.48519671,CARTHAGE
FORECLOS,FORECLOSED PROPERTY,RENEWAL ,Renewal of Previous Year Registration,,6405 ASPEN WY                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600121,09/08/2017 12:00:00 AM +0000,39.20814948,-84.55216171,COLLEGE HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,4223 MAD ANTHONY ST                  ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1600031,09/08/2017 12:00:00 AM +0000,39.16398697,-84.53571317,NORTHSIDE
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,756 MCMAKIN AV                      ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500891,09/08/2017 12:00:00 AM +0000,39.17260605,-84.51884029,SPRING GROVE VILLAGE
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,5628 BRAMBLE AV                      ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500855,09/08/2017 12:00:00 AM +0000,39.15241336,-84.39946882,MADISONVILLE
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,1011 FISK AV                         ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500854,09/08/2017 12:00:00 AM +0000,39.11099091,-84.58680324,WEST PRICE HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,1528 ELKTON PL                       ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500525,09/08/2017 12:00:00 AM +0000,39.20178628,-84.54578114,COLLEGE HILL
FORECLOS,Foreclosed Property,RENEWAL ,Renewal of Previous Year Registration,,4766 HARDWICK DR                     ,http://cagismaps.hamilton-co.org/propertyactivity/cagisreport?APD=VFP1500539,09/08/2017 12:00:00 AM +0000,39.12536411,-84.59510316,WEST PRICE HILL
